./element_img\blue_test_img1.jpg;(0, 599, 2894, 2894);(203, 183, 164);(253, 253, 247)
./element_img\blue_test_img2.jpg;(420, 0, 1080, 1080);(188, 169, 138);(255, 255, 255)
./element_img\blue_test_img3.jpg;(0, 293, 1014, 1014);(223, 207, 186);(213, 194, 167)
./element_img\brown_test_img.jpg;(0, 198, 1000, 1000);(108, 107, 121);(255, 255, 255)
./element_img\green_test_img.jpg;(0, 165, 800, 800);(133, 158, 144);(173, 202, 211)
./element_img\orange_test_img.png;(443, 0, 2149, 2149);(119, 161, 200);(255, 255, 255)
./element_img\pink_test_img.jpg;(0, 300, 1448, 1448);(170, 166, 207);(255, 255, 255)
./element_img\purple_test_img.jpg;(0, 0, 1450, 1450);(137, 77, 92);(255, 198, 206)
./element_img\red_test_img.jpg;(0, 198, 1000, 1000);(94, 95, 148);(255, 255, 255)
